1492	110258	45641	2226064
1564	119049	52970	2446096
1537	91341	48761	2362369
1552	103793	52582	2408704
950	28862	14832	902500
1552	95600	50663	2408704
1474	88714	47154	2172676
1200	50204	30659	1440000
1995	135749	83000	3980025
1542	101796	47262	2377764
1804	119355	69018	3254416
1452	102222	51460	2108304
954	29137	15257	910116
1870	142446	73681	3496900
1474	94174	39255	2172676
1974	140322	76820	3896676
1497	109515	49498	2241009
1525	95756	48578	2325625
1800	113853	69072	3240000
1793	109488	64394	3214849
1562	108376	48262	2439844
1490	100344	46016	2220100
